user_id,song_id,song_name,artist,rating
1,3hpm0fTeSqlhJbnqAgaLZs,Marlboro Rojo,Fuerza Regida,4
1,6PNvv1dmDbOWrAYwEcuKBX,Criminal,Fiona Apple,3
1,2D4LEUzvLRCQOLMxnajH72,"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,4
1,6et5HwX6nTYddg7hDGAxug,ONE CALL,Rich Amiri,3
1,6UkMcAA19lTdjs22jtB7o2,Big Yellow Taxi,Joni Mitchell,2
1,7m55zHmG2LTq8H0PTOcAGw,Miley Cyrus,Che,1
1,2BrfJdTXohQRtWBKsBTIp0,Por Amar A Ciegas,Arcángel,2
1,3NM41PVVUr0ceootKAtkAj,As the World Caves In,Matt Maltese,2
1,5SWnsxjhdcEDc7LJjq9UHk,Runnin,21 Savage,1
1,6w4MlvpuxtbjGdL9YeTx89,Jazzy Belle,Outkast,2
1,6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,1
1,6PBPTmD3sBFt16vjSd4L5Q,TUDO,Liniker,3
1,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,Dr. Dre,5
1,3C0nOe05EIt1390bVABLyN,On The Floor,Jennifer Lopez,2
1,0eeX8L0DWvGth1F6xVkvv7,ADIVINO,Myke Towers,2
1,15nElWknZsgnSIfVihVCQf,DIVINE,Stray Kids,5
1,1XrSjpNe49IiygZfzb74pk,What Once Was,Her's,5
1,5Lu0RsvwyI37fzUAjIb6RL,Stay With Me,Nessa Barrett,2
1,7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,5
1,2pYCyEwJ0xKnWbuQkqNHgp,Love and Happiness,Al Green,3
1,0qnixPSm1JnG0ZVUhBFh6t,Nostalgic Love Rock,late night drive home,3
1,0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G,3
1,5sMEEjviCkH6Rp5X2ZvIIc,Everything is romantic,Charli xcx,3
1,3Z4BxvgOJ8KupcDIV3OV2f,In Your Fantasy,ATEEZ,3
1,0iMt8ZMe2BsNvsF9LFDOAn,Ends of the Earth,Lord Huron,4
1,2I1BvCYcbglVwpnF8J3u5D,"Kapitel 9.2 - Der Tote vom Maschsee (Hannover-Krimis, Band 1)",Susanne Mischke,2
1,0yvPEnB032fojLfVluFjUv,Sorry Not Sorry,Demi Lovato,3
1,4Y8vb1uy9IjM2V1hqvrAid,You'll Be In My Heart,Phil Collins,2
1,4T6FWA703h6H7zk1FoSARw,New Light,John Mayer,5
1,5bJ1DrEM4hNCafcDd1oxHx,Self Care,Mac Miller,3
1,0QyJXG36Q3Kta662XS8GhY,Too Fast,Sonder,1
1,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,1
1,77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey,3
1,3BpiaGyTIb7VIoAYbvSzTH,Réu Confesso,Tim Maia,5
1,5MvxeZPiiLAuB5gI8k3ynk,Can't Love You Anymore (With OHHYUK),IU,1
1,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,5
1,0wokCRaKD0zPNhMRXAgVsr,Ordinary World,Duran Duran,1
1,4jCKLCyhHjrzz6be6NDhrd,Roc Steady (feat. Flo Milli),Megan Thee Stallion,2
1,73vfMXcXa6iY1E3lpf2fZO,Pussy Palace,Lily Allen,5
1,7CUkeiG7QtB7tPU9f8SANS,hand crushed by a mallet,100 gecs,2
1,5zUQZjVB6bfewBXWqsP9PY,Here,Alessia Cara,3
1,6zOg9gP62RJSsKFeOBAgvH,"Only You (feat. The Notorious B.I.G., Ma$e) - Bad Boy Remix",112,3
1,1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd,2
1,4cwb11VlH6JanT0s8g7KNO,Mimosa (Now And Forever) (feat. Nyasia),Alok,3
1,4eNnMvUrSu2TRpySjVC0Pv,Superbeast,Rob Zombie,3
1,6l0Ky2PycJV1Bz88kFeVGL,Capital Letters,Hailee Steinfeld,3
1,6q4zA7hWKFF6wsJ64DWdwU,Amor de Siempre,Cuco,4
1,5hc71nKsUgtwQ3z52KEKQk,Somebody Else,The 1975,5
1,4PHX6bpHDxiR9RGzAKWcyk,Cuando Me Enamoro,Enrique Iglesias,3
1,1lBkIZiPtUetgkMcSABu3h,If You Want It,Sexyy Red,4
1,5P4Dow1Jc2NhkknIuPi5Nd,Rain (feat. Vince Staples),Mac Miller,4
1,4lAnj7Git7s2QrSTwUa54g,Say It (feat. Tove Lo),Flume,5
1,5b3yINi6jbTdURfGU4nKoC,Feisty,Smerz,3
1,11VwZwNF29HrqwalYUMitb,Pale Blue Eyes,The Velvet Underground,5
1,60ZGteAEtPCnGE6zevgUcd,Mountain Sound,Of Monsters and Men,2
1,6o86CKQQc85ql8pMHrvJpo,Queen St,twentythree,1
1,5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,5
1,2TTYIwTM2iLC1YOyHuhRMt,Lucky,Britney Spears,2
1,3sUwKYPGWdJh2uNmexndza,I Am Impossible,Lucy Bedroque,3
1,2f7NXiO2Uyffl4Pp2AArRI,444,Lithe,1
1,6r1lboTadi5swMquaAWDzh,Hell At Night (feat. Ella Langley),BigXthaPlug,3
1,2mNGL7mZILSqZHxGboJaO9,COMË N GO,Yeat,5
1,3IrcvqIf3ZiBhf3xdsctRX,Guillotine,Death Grips,5
1,5iAE3uBqaZm9aHUx9yy6a0,KATAMARI,femtanyl,3
1,4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,Juice WRLD,4
2,1SJhYNxOZSItqrB6upWyE6,Here Comes a Thought (feat. Estelle & AJ Michalka),Steven Universe,3
2,0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,3
2,7bywjHOc0wSjGGbj04XbVi,LUNA,Feid,2
2,1hZSUavyxPq5oo0jOGBRSn,2 Fa 2,Glokk40Spaz,3
2,30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,5
2,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,4
2,0iO2iCAjtX0t5duvczNQt6,Oscar Winning Tears.,RAYE,3
2,5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,2
2,0Puj4YlTm6xNzDDADXHMI9,Sabotage,Beastie Boys,2
2,762B4bOcXF7I2Y8UlKTyTy,Chiquitita,ABBA,3
2,6zeeWid2sgw4lap2jV61PZ,Better,Khalid,2
2,5d7JjDwfkpPRR2KnFdE1ss,Generation Y 1989,Devon Hendryx,3
2,5jE48hhRu8E6zBDPRSkEq7,All About That Bass,Meghan Trainor,1
2,3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,Jordana,3
2,1auX4gkGe7hbrOH0BXdpV4,Firestarter,The Prodigy,1
2,0skYZXWfbJtGlmRRRvQI4A,Willows,Hans Williams,3
2,2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),Jung Kook,3
2,5k2X5nAN0efhoZ9OC3flGo,Unbothered,Ski Mask The Slump God,4
2,59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),B.o.B,1
2,5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn",Zach Bryan,3
2,5pZupzhQ1KAq8sFtFxS3nG,Becky,Plies,1
2,4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,2
2,0cWKIr2hzxT6vuxFrCzcMz,Love Is Everywhere (Beware),Wilco,3
2,0qvzXomUDJVaUboy2wMfiS,This Town,Niall Horan,3
2,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,1
2,1BIXs6CdkPRLytuqoXs6XN,4K,El Alfa,4
2,2yPoXCs7BSIUrucMdK5PzV,Umbrella,Rihanna,3
2,3rmqiQbzPDx7A8p88IRFKg,Love U Like That,Lauv,3
2,6qspW4YKycviDFjHBOaqUY,Waterfalls,TLC,3
2,1XTY6rA7XQosc0ynkkE9kN,Black Friday,Tom Odell,3
2,6wmAHw1szh5RCKSRjiXhPe,How Long,Charlie Puth,1
2,5FZxsHWIvUsmSK1IAvm2pp,Best of You,Foo Fighters,3
2,4KGGeE7RJsgLNZmnxGFlOj,Falling Behind,Laufey,3
2,30FURVTCpbKyykjSEQzGkH,Back To Black,Amy Winehouse,2
2,2Ih217RCGAmyQR68Nn7Cqo,You Know How We Do It,Ice Cube,2
2,4FEr6dIdH6EqLKR0jB560J,Rosemary,Deftones,1
2,1SwZVVH9BnXtLRLi2cbFhw,Good day,IU,3
2,6Px7VvXLTjMP6J2nTQ6bIh,In Undertow,Alvvays,3
2,6YVajR33kCWLhWpMVD8AGD,Calling After Me,Wallows,5
2,14WYmNQWvR2TTWoRp8t9Ml,RATATATA,BABYMETAL,2
2,4Lwm0XFseZ09OBdmUJlcYp,SEQUÊNCIA FEITICEIRA,PEDRO SAMPAIO,3
2,72jbDTw1piOOj770jWNeaG,Paris,The Chainsmokers,2
2,3oBNQdDbNrs8wQbcZ3BXwP,Velvet Ring - 2023 Remaster,Big Thief,4
2,1zFbBrZmJr1Z49HYe84dBg,Harvey,Her's,2
2,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,3
2,0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,1
2,3wwoB2eYeGnuOSuIYqXEdl,Closure,Chevelle,5
2,166u1Cs46FmXoOaTGxh8aB,Out Of Control,Hoobastank,3
2,2zvDnNLW4yZ4a0YcGiOEBX,GOOBA,6ix9ine,3
2,2cOUlop2ZakjOKe4WinesN,Slow Hands,Niall Horan,1
2,3kJLxsBFS9f0tzJ3THg9pF,In Da Party,smokedope2016,1
2,0zZXEuRkmE44e78mniF5MU,gigolo,bbno$,2
2,6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,Imagine Dragons,3
2,0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),Kendrick Lamar,1
2,1jYiIOC5d6soxkJP81fxq2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,4
2,2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),Kendrick Lamar,4
2,6wVViUl2xSRoDK2T7dMZbR,Bizarre Love Triangle,New Order,5
2,59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,5
2,4ecdsGz3Hg6TKPwQ0ZOdJz,FaSHioN,CORTIS,5
2,5yc59J3MR3tVDPTOgwgRI5,Soul Meets Body,Death Cab for Cutie,1
2,46clCWv55EyW1ZlOl796It,Cinderella,Remi Wolf,5
2,2xXgWlANgNbcuFZhD7NFSc,Death Grips,Etta Marcus,5
2,5dTmaw1TwugkUZk1SHqStE,Still the Same,Autumn!,2
2,7mpdNiaQvygj2rHoxkzMfa,Bite Me,ENHYPEN,3
2,3GXSywNvYLAVUCtjMHkKDh,E. Coli (feat. Earl Sweatshirt),The Alchemist,4
3,6K53GM9W6Vle5KBwGFVnZM,Space Cowboy,Jamiroquai,1
3,6wmAHw1szh5RCKSRjiXhPe,How Long,Charlie Puth,2
3,0WAEGVylZjbe2mQ6Or6HxY,Cannock Chase,Labi Siffre,4
3,66dQdXAbtuPdSasezCQVZE,SUMMER,BROCKHAMPTON,4
3,0LH7ijaQi0ybY6Oe4SCLo1,Watering My Plants,Larry June,3
3,4PAXJNRDrMFHvufmszPyDI,MAKE THE ANGELS CRY,Chris Grey,5
3,58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,2
3,3zyqphgXvgHe436IMKeey3,Paprika,Japanese Breakfast,3
3,3nHuKdFJZm78CoeBnDcFKe,Bad Dreams,Teddy Swims,5
3,2qKkC9cODRjIlsdyEkSJLQ,Only You,Portishead,3
3,2kRFrWaLWiKq48YYVdGcm8,Everything In Its Right Place,Radiohead,4
3,5Ravsw8TmHN5wBiYPPYUFw,Right Now (Na Na Na),Akon,5
3,5BXr7hYZQOeRttkeWYTq5S,ASAP,STAYC,3
3,4DfCzjuGvK8xq6g6e1EpoE,Slow Down,Leon Thomas,4
3,45hOioMDJktr86iKDHC8gr,Girlfriend,Avril Lavigne,1
3,1F5A4LpF8ylUVtPoMAvNvn,Raspberry,GROUPLOVE,2
3,1ElGmhauttS9p7LwmHG9uM,Sometimes (Backwood),Gigi Perez,2
3,4KTtYhxFtFL7mBwnjkKfLm,Glamorous,Fergie,4
3,442lxJfyUbsOWAYFBxNDdL,OK,Joey Valence & Brae,3
3,1D0QeY6vwnZcbiM6iBYYSj,Love Like Ghosts,Lord Huron,3
3,181ez25DOmzsYfFtyHNK1x,when the world end,Lil Darkie,3
3,72hSmnleYTiiOo23q8ZJIS,Black Sheep,Metric,1
3,3mhsDyQpX2L8sJMdWUHOi3,This Is Halloween,The Citizens of Halloween,3
